Share Code,Short Name
RTO,REX TRUE
RTOP,REX TRUE6%
RFG,RFG
RHB,RHBOPHELO
RMH,RMBH
RDI,ROCKWELL
RBP,RBPLAT
RBPCB,RBP CONV
SAC,SA CORP
SBP,SABCAP
SAR,SAFARI
SLM,SANLAM
SNT,SANTAM
SNV,SANTOVA
SAP,SAPPI
SFN,SASFIN
SFNP,SASFIN-P
SOLBE1,BEE-SASOL
SOL,SASOL
SCD,SERE
SHG,SEAHARVST
SEB,SEBATA
SEP,SEPHAKU
SHP,SHOPRIT
SSW,SIBANYE-S
SVB,SILVERB
SRE,SIRIUS
SOH,S.OCEAN
S32,SOUTH32
SPA,SPANJAARD
SPP,SPAR
SEA,SPEARREIT
SUR,SPURCORP
SDO,STADIO
SBPP,STANBANK-P
SBK,STANBANK
SBKP,STANBANK6.5
SSK,STEFSTOCK
SNH,STEINHOFF N.V.
SHFF,SHFINV-PREF
SCP,STELLAR
STP,STENPROP
SSS,STOR-AGE
SUI,SUNINT
SPG,SUPRGRP
SYG,SYGNIA
TLM,TELEMASTR
TKG,TELKOM
TXT,TEXTAINER
TEX,TEX
THA,THARISA
BVT,BIDVEST
TFG,TFG
TFGP,TFG PREF
SPP,SPAR
TBS,TIGBRANDS
TON,TONGAAT
TCS,TCS
TWR,TOWER
TDH,TRADEH
TDHBP,TDH B PREF
TCP,TRANSCAP
TPF,TRANSCEND
TPC,TRNPACO
TRL,TRELLIDOR
TMT,TREMATON
TRE,TRENCOR
TTO,TRUSTCO
TRU,TRUWTHS
TSG,TSOGO SUN
TGO,THL
UCP,UNICORN
UAT,UNION
UPL,UPARTNERS
VLE,VALUE
VIS,VISUAL
VVO,VIVO
VOD,VODACOM
VKE,VUKILE
VUN,VUNANI
WEA,WEARNE
WSL,WESCOAL
WEZ,WESIZWE
WBO,WBHO
WHL,WOOLIES
WKF,WORKFORCE
YYLBEE,YEBOYETHU
YRK,YORK
ZPLP,ZPLP
ZCL,ZARCLEAR
ZED,ZEDER
