Date,SA40_VIX
2001-03-16,0.2982901114326807
2001-03-19,0.28723076337990605
2001-03-20,0.28997797750304927
2001-03-22,0.29470000335645363
2001-03-23,0.3028179658428197
2001-03-26,0.29790601465719757
2001-03-27,0.2951271545044944
2001-03-28,0.2952220014303815
2001-03-29,0.2864334410757314
2001-03-30,0.2821799224797683
2001-04-02,0.2884598102338578
2001-04-03,0.2926479415205109
2001-04-04,0.3017186715511289
2001-04-05,0.3171017334691718
2001-04-06,0.3485209383371782
2001-04-09,0.3500949040334783
2001-04-10,0.3232664563880338
2001-04-11,0.38211812589567995
2001-04-12,0.3749210750583888
2001-04-17,0.37744166979856575
2001-04-18,0.40674725308449444
2001-04-19,0.39769654115523295
2001-04-20,0.40018971256806835
2001-04-23,0.3897695960346325
2001-04-24,0.38868582122280154
2001-04-25,0.37797299584197036
2001-04-26,0.38008101168740405
2001-04-30,0.37995012289599556
2001-05-02,0.3813652860958154
2001-05-03,0.3730860439648637
2001-05-04,0.36289832478869066
2001-05-07,0.3572006132498309
2001-05-08,0.35087956503534656
2001-05-09,0.3472128687040085
2001-05-10,0.29507570715936565
2001-05-11,0.2950856785635252
2001-05-14,0.3099354767511202
2001-05-15,0.2478355967419165
2001-05-16,0.24812254992631577
2001-05-17,0.27401471304654096
2001-05-18,0.22851484029043373
2001-05-21,0.22692491431827144
2001-05-22,0.22490644093834505
2001-05-23,0.2057778470661519
2001-05-24,0.20581669906528716
2001-05-25,0.20301313321731793
2001-05-28,0.19834699548080012
2001-05-29,0.20065897506638788
2001-05-30,0.19909528868990545
2001-05-31,0.21208798949047045
2001-06-01,0.23251413080994723
2001-06-04,0.2196365644793146
2001-06-05,0.21729696493525036
2001-06-06,0.21158874216178594
2001-06-07,0.22374536763754274
2001-06-08,0.23794835937661266
2001-06-11,0.22278196937613426
2001-06-12,0.2247526511111554
2001-06-13,0.22605994516129202
2001-06-14,0.18787869245105288
2001-06-15,0.19065206402495471
2001-06-18,0.1919098567264364
2001-06-19,0.21045783260396994
2001-06-20,0.21640861689058072
2001-06-21,0.21900467476847663
2001-06-22,0.2449331015187104
2001-06-25,0.25224561704261605
2001-06-26,0.2488792630553314
2001-06-27,0.2487534833806646
2001-06-28,0.24726333312388918
2001-06-29,0.22694327142091142
2001-07-02,0.22689175390841068
2001-07-03,0.2333938937786781
2001-07-04,0.2473756861318413
2001-07-05,0.23284082099125214
2001-07-06,0.24647790117023946
2001-07-09,0.25569085781542
2001-07-10,0.25692841445345116
2001-07-11,0.26255191058236815
2001-07-12,0.2624908074628887
2001-07-13,0.2702373347654113
2001-07-16,0.26978705663476293
2001-07-17,0.2583738634076494
2001-07-18,0.25596658430405117
2001-07-19,0.2677575469008751
2001-07-20,0.25000038743600866
2001-07-23,0.23894401558295963
2001-07-24,0.2428185833635303
2001-07-25,0.2395499107762535
2001-07-26,0.2354557028782143
2001-07-27,0.2310606792028008
2001-07-30,0.23369561944842646
2001-07-31,0.2319383676335743
2001-08-01,0.22991795544240562
2001-08-02,0.23531715762348382
2001-08-03,0.22396879653772836
2001-08-06,0.22269584262476091
2001-08-07,0.2227323866328496
2001-08-08,0.21587033955017487
2001-08-10,0.21941845805244034
2001-08-13,0.22180721119562566
2001-08-14,0.24124899120472826
2001-08-15,0.23770738629408078
2001-08-16,0.23917443246022638
2001-08-17,0.22500942218016382
2001-08-20,0.220026917051208
2001-08-21,0.21939345952779057
2001-08-22,0.21071178225872572
2001-08-23,0.21162520475626798
2001-08-24,0.21719499845250764
2001-08-27,0.21696856689655086
2001-08-28,0.21507996540166244
2001-08-29,0.21875836878829702
2001-08-30,0.2179127310458566
2001-08-31,0.20481092543777896
2001-09-03,0.2126942104035317
2001-09-04,0.20733265200693915
2001-09-05,0.20896653450011363
2001-09-06,0.2093860035488251
2001-09-07,0.23282335024815454
2001-09-10,0.21933222339106337
2001-09-11,0.2841081957762411
2001-09-12,0.34243728101257553
2001-09-13,0.3624408893109089
2001-09-14,0.3749324173040905
2001-09-17,0.38227245006687094
2001-09-18,0.39599569094184567
2001-09-19,0.3954388589859741
2001-09-20,0.4154327781987149
2001-09-21,0.40827590387577617
2001-09-25,0.5091498555066661
2001-09-26,0.5176826530944211
2001-09-27,0.5201578920945643
2001-09-28,0.5353954537406829
2001-10-01,0.5350217672201608
2001-10-02,0.534579927996257
2001-10-03,0.5364340238401061
2001-10-04,0.5551318227861775
2001-10-05,0.5531533693965469
2001-10-08,0.5484178567899258
