Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,3576.590088,3733.459961,3576.590088,3576.590088,2910.599365,56098
2000-01-05,3513.840088,3639.330078,3513.840088,3626.790039,2951.451172,330549
2000-01-06,3576.590088,3589.139893,3513.840088,3576.590088,2910.599365,81479
2000-01-07,3607.959961,3758.550049,3607.959961,3607.959961,2936.127686,187666
2000-01-10,3752.280029,4147.589844,3752.280029,3984.439941,3242.503662,965091
2000-01-11,4078.560059,4486.419922,4078.560059,4455.049805,3625.481934,696503
2000-01-12,4398.580078,4611.919922,4398.580078,4517.790039,3676.540527,693560
2000-01-13,4455.049805,4706.040039,4429.950195,4706.040039,3829.735840,617971
2000-01-14,4706.040039,5132.720215,4706.040039,5095.069824,4146.326172,403810
2000-01-17,5145.270020,5534.299805,5145.270020,5459.000000,4442.488770,524910
2000-01-18,5396.250000,5584.500000,5389.979980,5427.629883,4416.959473,1194186
2000-01-19,5208.009766,5396.250000,5208.009766,5258.209961,4279.087891,266301
2000-01-20,5208.009766,5396.250000,5176.640137,5396.250000,4391.423340,2194485
2000-01-21,5283.310059,5333.509766,5220.560059,5270.759766,4289.300781,576723
2000-01-24,5214.290039,5270.759766,5019.770020,5239.390137,4263.772461,238054
2000-01-25,5182.919922,5182.919922,4800.160156,4800.160156,3906.330566,171036
2000-01-26,4850.350098,4894.279785,4674.660156,4674.660156,3804.199219,343346
2000-01-27,4706.040039,4737.410156,4618.189941,4718.589844,3839.948975,482192
2000-01-28,4718.589844,4888.000000,4706.040039,4888.000000,3977.813721,119358
2000-01-31,4850.350098,4850.350098,4643.290039,4749.959961,3865.476807,222477
2000-02-01,4800.160156,5082.520020,4800.160156,4800.160156,3906.330566,176558
2000-02-02,5082.520020,5182.919922,5082.520020,5082.520020,4136.112793,131016
2000-02-03,5145.270020,5270.759766,5145.270020,5270.759766,4289.300781,259319
2000-02-04,5270.759766,5396.250000,4831.529785,4831.529785,3931.858887,751854
2000-02-07,5019.770020,5019.770020,4862.899902,4862.899902,3957.386963,205316
2000-02-08,4862.899902,4862.899902,4517.790039,4643.290039,3778.671387,250013
2000-02-09,4643.290039,4831.529785,4549.169922,4831.529785,3931.858887,458456
