"Ordinary Share Capital & Premium: Share Premium",,,,,,,,46300,,46300,46300,46300,46300,46300,,24600,,,,,,
"Treasury Shares",,197959,,200804,,178358,178358,775,,53279,57043,69026,69026,53838,52832,52832,56672,18731,18731,18731,18731,
"Distributable Reserves",,3906413,,3292017,,2448621,2399031,2011314,1877887,1585866,1319941,1132446,1022961,848608,783565,808959,772580,534237,556116,373322,355230,
"Non-Distributable Reserves",,-2010773,,-3198827,,48891,47875,87917,,,14976,14976,14976,14976,14976,14976,14976,14976,14976,,,
"Translation Reserves",,,,,,,,,,-2724,-5936,-2164,-2075,2635,1869,,,,,,,
"Life Fund",,,,2300174,,250000,,,,,,,,,,,,,,,,
"Life Fund: Equity loan",,,,,,250000,,,,,,,,,,,,,,,,
"Ordinary Shareholders' Interest",3600743,3970960,3046082,3338198,3586623,2793049,2492443,2322351,2189064,1877542,1550166,1333967,1224355,1065151,968130,985491,913305,710732,732781,537740,517144,
"Minority Interest",503722,524359,489931,439894,402546,7,7,,,,,,,,,,,,,,,
"Total Shareholders' Interest",4104465,4495319,3536013,3778092,3989169,2793056,2492450,2322351,2189064,1877542,1550166,1333967,1224355,1065151,968130,985491,913305,710732,732781,537740,517144,
"Tax",45685,207074,66637,309205,216248,329923,308687,334205,10267,15269,7945,11511,5561,31951,29116,34156,28603,,,4083,2005,
"Tax: Current income tax liabilities",,,,,,,28018,,,,,,,,,,,,,,,
"Tax: current tax liabilities",,,,,,28018,,10262,,,,,,,,,,,,,,
"Tax: Deferred Tax Liability",,,,,,301905,308687,323943,,,,,,,,,,,,,,
"Creditors and Provisions",503116,488057,386260,598127,430279,514942,589216,143508,215806,108296,97771,179731,94983,241196,129154,197715,275653,234812,194516,186421,204761,
"Creditors and Provisions: Amount due by related parties",,,,,,,,,,,,,,,,,,,8826,,,
"Creditors and Provisions: Amounts",,,,,,,,,,,,,,,,,1413,,,,,
"Creditors and Provisions: Amounts due by related parties",,,,,,,,,,,,,,120598,,,,,,,,
"Creditors and Provisions: Amounts due to related parties",,,,,,,,,,,,,,,,33,,17548,,,,
"Creditors and Provisions: Provision",,,,,,,,,,,,,,,,19600,17917,19161,18428,17667,17189,
"Creditors and Provisions: Provisions",,,,,,,,,,21404,,19771,,,,,,,,,,
"Creditors and Provisions: Trade and other payables",,,,,,,,,,86892,,159960,,120598,,178082,256323,198103,167262,168754,187572,
"Long Term Liabilities",1183921,1044522,1251066,1324502,1332551,1714358,1670085,1449650,1121944,1105358,1060661,811493,596670,433958,288717,228771,211931,153658,151435,106603,111090,
"Insurance Funds",44169,45167,45393,48380,63057,94222,94350,85376,,,,,,,,,,,,,,
"Other Liabilities",325300,305446,1094966,116849,80698,58627,113305,22066,476920,428589,442557,490790,615767,97436,117810,106015,90597,220253,135837,181382,86104,
"Other Liabilities: Amount due by joint venture",,,,,,,,,,,,,,,,,,,,,20834,
"Other Liabilities: Amount due by related parties",,,,,,,,,,,,,,,,,,,,9297,,
"Other Liabilities: Amounts due to related parties",,,,,,3429,2678,,,,,1367,,,,,,,,,,
"Other Liabilities: Bank overdraft",,,,,,,,,,,,,,,,11754,11769,43549,41189,32617,21626,
"Other Liabilities: Current portion of long term liabilities",,,,,,,,,,,,,,38819,,42161,34117,74481,,61353,,
"Other Liabilities: Current portion of other liabilities",,,,,,,,,,,,,,2500,,2622,2622,2678,58415,2445,17012,
"Other Liabilities: Deferred Tax Liability",,,,,,,,323943,,357350,,269398,,31951,,35114,31148,90333,27592,69567,18583,
"Other Liabilities: Insurance contracts",,,,,,,,85376,,,,,,,,,,,,,,
"Other Liabilities: Other Liabilities",,,,,,55198,82609,22066,,23187,,174690,,,,2042,257,,334,,3150,
"Other Liabilities: Policy holders liability",,,,,,,,,,,,,,24166,,12322,,9212,,6103,,
"Other Liabilities: Policyholders liabilities",,,,,,,,,,48052,,45335,,,,,10684,,8307,,4899,
"Liabilities",2102191,2090266,2844322,2397063,2122833,2712072,2775643,2034805,1824937,1657512,1608934,1493525,1250129,715496,564797,566657,606784,608723,489566,478489,403960,
