Date,Price,Open,High,Low,Vol,Change,Beta,Alpha
2002-02-21,4516.0,4492.0,4539.0,4492.0,80600.0,0.0036,2.4169474930914543,0.0005519482919586307
2002-02-22,4508.0,4555.0,4555.0,4453.0,120210.0,-0.0018,2.391326496141521,0.0005371086736921536
2002-02-25,4531.0,4508.0,4555.0,4476.0,286780.0,0.0051,2.3814995840996573,0.00053923881453891
2002-02-26,4586.0,4531.0,4657.0,4531.0,129820.0,0.0121,2.353962327983912,0.0005683929130527454
2002-02-27,4594.0,4586.0,4610.0,4555.0,100020.0,0.0017000000000000001,2.3575451178450044,0.0005911796286888635
2002-02-28,4586.0,4594.0,4594.0,4555.0,223630.0,-0.0017000000000000001,2.3619266883304797,0.0006064479711471768
2002-03-01,4555.0,4555.0,4594.0,4539.0,189390.0,-0.0068000000000000005,2.3571399779353324,0.0005721069794011956
2002-03-04,4523.0,4555.0,4594.0,4516.0,170240.0,-0.006999999999999999,2.3215699611294065,0.000513075191583625
2002-03-05,4563.0,4523.0,4712.0,4523.0,573640.0,0.0088,2.354390950965946,0.0006280308313845893
2002-03-06,4790.0,4563.0,4790.0,4563.0,132110.0,0.049699999999999994,2.364439065792851,0.000582976805005375
2002-03-07,4893.0,4853.0,4908.0,4853.0,232130.0,0.0215,2.3921962769042198,0.000794749073395031
2002-03-08,4948.0,4893.0,4948.0,4830.0,1290000.0,0.011200000000000002,2.386962098936276,0.0008810719244483812
2002-03-11,5065.0,4948.0,5081.0,4948.0,116860.0,0.0236,2.411613256788441,0.000967668076714389
2002-03-12,5215.0,5065.0,5215.0,5065.0,136580.0,0.0296,2.3668423590034844,0.001099739418510453
2002-03-13,5215.0,5183.0,5262.0,5183.0,321760.0,0.0,2.3929805670040247,0.0011910374635113717
2002-03-14,5089.0,5215.0,5215.0,5042.0,383950.0,-0.0242,2.36988430935633,0.0012362354272191203
2002-03-15,5128.0,5089.0,5215.0,5065.0,120500.0,0.0077,2.3149702876167897,0.001048528281878423
2002-03-18,5081.0,5105.0,5105.0,5058.0,338210.0,-0.0092,2.3195776147173994,0.001091799435191543
2002-03-19,4963.0,5073.0,5073.0,4924.0,301660.0,-0.0232,2.328706631597501,0.0010245712133120804
2002-03-20,5010.0,4963.0,5112.0,4869.0,487420.0,0.0095,2.351268420550931,0.0009729233511906496
2002-03-22,4916.0,4995.0,4995.0,4908.0,150550.0,-0.018799999999999997,2.349846114544879,0.0010481541665990771
2002-03-25,5003.0,4916.0,5003.0,4916.0,42810.0,0.0177,2.309767008069435,0.0010165277132509803
2002-03-26,5026.0,5003.0,5105.0,4948.0,123380.0,0.0046,2.232236547250637,0.0011275145946770448
2002-03-27,5010.0,5026.0,5026.0,5003.0,72280.0,-0.0032,2.173603139106228,0.001244342197928958
2002-03-28,4948.0,4948.0,4995.0,4932.0,107520.0,-0.0124,2.1826517335368214,0.00131124344456165
2002-04-02,4963.0,4948.0,4971.0,4932.0,376990.0,0.003,2.2186459222964805,0.0013619260694395312
2002-04-03,4995.0,4963.0,4995.0,4940.0,253080.0,0.0064,2.2162621790991284,0.0013770753375242297
2002-04-04,5222.0,4995.0,5222.0,4995.0,209880.0,0.0454,2.1987666437748885,0.001396059574275792
2002-04-05,5222.0,5222.0,5222.0,5183.0,106170.0,0.0,2.2855964221568663,0.0015215822207239463
2002-04-08,5215.0,5222.0,5262.0,5152.0,77480.0,-0.0013,2.271532530006931,0.0014793701660551636
2002-04-09,5144.0,5183.0,5183.0,5097.0,221620.0,-0.013600000000000001,2.286439045124804,0.0014429641962857996
2002-04-10,5144.0,5152.0,5152.0,5105.0,352370.0,0.0,2.2668927324227024,0.0013479459353247262
2002-04-11,5050.0,5144.0,5160.0,5050.0,305420.0,-0.0183,2.201355560395102,0.0011917971144492377
2002-04-12,5010.0,5065.0,5065.0,4955.0,118420.0,-0.0079,2.1772734758509693,0.0010492109824901613
2002-04-15,5089.0,5010.0,5105.0,5010.0,195520.0,0.0158,2.2091513413349952,0.0009792326482976634
2002-04-16,5222.0,5089.0,5222.0,5089.0,186480.0,0.026099999999999998,2.2039566702961015,0.0010765950966835506
2002-04-17,5230.0,5222.0,5262.0,5222.0,268900.0,0.0015,2.2044429095362457,0.0011457094467083916
2002-04-18,5199.0,5230.0,5230.0,5144.0,112880.0,-0.0059,2.2759389161769734,0.0012641254639015821
2002-04-19,5222.0,5222.0,5222.0,5183.0,145370.0,0.0044,2.277895199299204,0.0012434818357806834
2002-04-22,5301.0,5262.0,5301.0,5222.0,135060.0,0.0151,2.267497552824049,0.0012235663663282348
2002-04-23,5222.0,5301.0,5301.0,5144.0,184200.0,-0.0149,2.186715523393545,0.0011030589957439785
2002-04-24,5262.0,5222.0,5270.0,5207.0,592240.0,0.0077,2.158688113885966,0.0010499901863058347
2002-04-25,5505.0,5262.0,5552.0,5262.0,261650.0,0.0462,2.159033881915932,0.0010713047600975293
2002-04-26,5584.0,5497.0,5599.0,5497.0,818270.0,0.0144,2.1665229900069582,0.0012246796003371801
2002-04-29,5521.0,5584.0,5584.0,5482.0,272240.0,-0.0113,2.16133566796279,0.0013106579822295967
2002-04-30,5419.0,5521.0,5537.0,5379.0,261570.0,-0.018500000000000003,2.1446420669419224,0.0013104528155222061
2002-05-02,5427.0,5419.0,5434.0,5372.0,232880.0,0.0015,2.1445845606490987,0.0012555842290162102
2002-05-03,5356.0,5427.0,5474.0,5356.0,356560.0,-0.0131,2.142245689437558,0.0013074137534856214
2002-05-06,5513.0,5340.0,5521.0,5340.0,713740.0,0.029300000000000003,2.09845857023837,0.0012718694331544452
2002-05-07,5631.0,5513.0,5639.0,5513.0,522130.0,0.021400000000000002,2.1239122725407795,0.0014240737975794412
2002-05-08,5639.0,5654.0,5733.0,5623.0,747890.0,0.0014000000000000002,2.112586608331774,0.001529722643126466
2002-05-09,5576.0,5654.0,5654.0,5560.0,606390.0,-0.011200000000000002,2.088530904830276,0.0014558505239612382
2002-05-10,5733.0,5576.0,5733.0,5576.0,279280.0,0.0282,2.0890668663491514,0.0014675670143867792
2002-05-13,5654.0,5733.0,5733.0,5654.0,197270.0,-0.0138,2.077378152738717,0.0016103024940806315
2002-05-14,5733.0,5658.0,5796.0,5658.0,377010.0,0.013999999999999999,2.0705738326406635,0.0015596986964466774
2002-05-15,5576.0,5733.0,5733.0,5513.0,121050.0,-0.0274,2.0777589203982463,0.0016069644387283134
2002-05-16,5607.0,5615.0,5623.0,5552.0,240820.0,0.005600000000000001,2.070160144452688,0.0015230641704522903
2002-05-17,5654.0,5576.0,5678.0,5411.0,155630.0,0.0084,2.072460999459284,0.0014552187567554485
2002-05-20,5580.0,5647.0,5654.0,5576.0,107870.0,-0.0131,2.0692783369626917,0.0014867716271083696
2002-05-21,5537.0,5580.0,5580.0,5529.0,98540.0,-0.0077,2.0871007458884425,0.0014707233658436715
2002-05-22,5513.0,5560.0,5564.0,5458.0,85120.0,-0.0043,2.0905676963468296,0.0014502589337623847
2002-05-23,5537.0,5497.0,5537.0,5458.0,188460.0,0.0044,2.088428067963584,0.001465870322742423
2002-05-24,5537.0,5537.0,5537.0,5497.0,45690.0,0.0,2.0872832513837363,0.0014727315185332811
2002-05-27,5482.0,5576.0,5615.0,5395.0,383130.0,-0.009899999999999999,2.086383636877864,0.0014520310769653023
2002-05-28,5340.0,5474.0,5474.0,5340.0,291820.0,-0.0259,2.0912574641533603,0.0014407084062602168
2002-05-29,5379.0,5364.0,5497.0,5356.0,79180.0,0.0073,2.1124229291876424,0.0013656349701761542
2002-05-30,5497.0,5497.0,5851.0,5419.0,83840.0,0.0219,2.1090008374294893,0.0014069341591459485
2002-05-31,5701.0,5576.0,5733.0,5576.0,351740.0,0.0371,2.1093618118499586,0.001419070369358415
2002-06-03,5701.0,5701.0,5701.0,5670.0,275460.0,0.0,2.1208053257138935,0.001464507527697155
2002-06-04,5717.0,5694.0,5733.0,5654.0,236790.0,0.0028000000000000004,2.0907084184067344,0.0013740129130306764
2002-06-05,5733.0,5717.0,5749.0,5717.0,526700.0,0.0028000000000000004,2.0437296874497144,0.0014959355110353628
2002-06-06,5746.0,5733.0,5749.0,5725.0,369400.0,0.0023,2.030133100337406,0.0014624139566624653
2002-06-07,5733.0,5749.0,5843.0,5694.0,463370.0,-0.0023,2.02905398286701,0.0015133671606844474
2002-06-10,5694.0,5733.0,5749.0,5654.0,47180.0,-0.0068000000000000005,2.029160156428953,0.0014424793291384695
2002-06-11,5607.0,5694.0,5698.0,5576.0,175070.0,-0.015300000000000001,2.0176036863219284,0.0013954279601362913
2002-06-12,5529.0,5497.0,5576.0,5497.0,97540.0,-0.0139,1.9817734673222738,0.0012486734323904679
2002-06-13,5513.0,5529.0,5599.0,5513.0,353250.0,-0.0029,1.982678703450261,0.0012295001629205324
2002-06-14,5420.0,5497.0,5513.0,5277.0,406680.0,-0.0169,1.9861496678923856,0.0011955194221089647
2002-06-18,5513.0,5427.0,5544.0,5427.0,653420.0,0.0172,2.0033960613702844,0.0011958801589842122
2002-06-19,5560.0,5513.0,5576.0,5513.0,263380.0,0.0085,2.01613023310896,0.0012287271686943304
2002-06-20,5340.0,5560.0,5654.0,5340.0,440490.0,-0.039599999999999996,1.9966889368663756,0.0011966369353162572
2002-06-21,5301.0,5340.0,5513.0,5301.0,392130.0,-0.0073,2.0201680944988665,0.0011338390547128122
2002-06-24,5497.0,5419.0,5537.0,5379.0,192900.0,0.037000000000000005,1.9847181457356395,0.0010189164973415992
2002-06-25,5536.0,5537.0,5540.0,5517.0,162770.0,0.0070999999999999995,1.978311382356806,0.001177612887276143
2002-06-26,5356.0,5336.0,5533.0,5277.0,328760.0,-0.0325,1.9778726070142154,0.0011880004166827777
2002-06-27,5395.0,5379.0,5474.0,5301.0,322020.0,0.0073,2.0092966358001427,0.001073891432726672
2002-06-28,5497.0,5379.0,5497.0,5379.0,355220.0,0.0189,1.968141810379776,0.001011157372518108
2002-07-01,5325.0,5419.0,5419.0,5301.0,161160.0,-0.0313,1.9802955728148046,0.001026073615173122
2002-07-02,5262.0,5325.0,5340.0,5262.0,143370.0,-0.0118,1.9728562085708898,0.000906832277270924
2002-07-03,5266.0,5262.0,5301.0,5222.0,1650000.0,0.0008,1.9940121203892187,0.0008264573309822029
2002-07-04,5344.0,5262.0,5419.0,5262.0,79140.0,0.0148,1.9935609536185785,0.0008738807557608413
2002-07-05,5403.0,5344.0,5403.0,5325.0,428890.0,0.011000000000000001,2.0018619910699704,0.0009037900234004173
2002-07-08,5450.0,5403.0,5466.0,5403.0,245940.0,0.0087,1.9994669218524073,0.0009091352018015046
2002-07-09,5458.0,5420.0,5497.0,5379.0,1110000.0,0.0015,2.0230613641636235,0.0008609925090896841
2002-07-10,5450.0,5427.0,5497.0,5427.0,162470.0,-0.0015,2.0263726494735126,0.0009656308520093334
2002-07-11,5278.0,5270.0,5415.0,5270.0,137680.0,-0.0316,2.0073808258274926,0.0010167703880112789
2002-07-12,5694.0,5278.0,5694.0,5278.0,151830.0,0.0788,2.0579704624156276,0.0009213417286166296
2002-07-15,5301.0,5517.0,5517.0,5297.0,822550.0,-0.069,2.1861796773940636,0.0012134364575328946
2002-07-16,5458.0,5340.0,5497.0,5340.0,81900.0,0.0296,2.2182588362423052,0.000997249836799338
2002-07-17,5497.0,5419.0,5497.0,5419.0,209740.0,0.0070999999999999995,2.2417700298387646,0.0010930463051103895
2002-07-18,5513.0,5497.0,5545.0,5453.0,45880.0,0.0029,2.2463812526082347,0.001110101551889957
2002-07-19,5262.0,5513.0,5513.0,5262.0,53240.0,-0.0455,2.2520791940031546,0.0011590978471743914
2002-07-22,5332.0,5419.0,5419.0,5332.0,169820.0,0.013300000000000001,2.3153145782382967,0.0011565710066448749
2002-07-23,5301.0,5301.0,5458.0,5291.0,229980.0,-0.0058,2.2864940507075446,0.0012691686671331616
2002-07-24,5185.0,5301.0,5301.0,5026.0,722880.0,-0.0219,2.2496072843609247,0.0011378866098238362
2002-07-25,5497.0,5215.0,5497.0,5215.0,182870.0,0.0602,2.2597194078555534,0.0009506206609382069
2002-07-26,5497.0,5497.0,5537.0,5371.0,101640.0,0.0,2.321242896857223,0.0011046548100435837
2002-07-29,5497.0,5517.0,5517.0,5383.0,308490.0,0.0,2.277828832713948,0.0010611913211546152
2002-07-30,5481.0,5517.0,5576.0,5372.0,244020.0,-0.0029,2.253746286355422,0.0009720740229104618
2002-07-31,5341.0,5340.0,5419.0,5301.0,382640.0,-0.0255,2.2327200735458934,0.0010222184168495623
2002-08-01,5230.0,5341.0,5356.0,5222.0,410170.0,-0.0208,2.260874177360203,0.0009153666878913672
2002-08-02,5136.0,5262.0,5277.0,5136.0,290540.0,-0.018000000000000002,2.238019452924493,0.000745187569998935
2002-08-05,5105.0,5136.0,5183.0,5105.0,346070.0,-0.006,2.2509534142883556,0.0006943866886617451
2002-08-06,5182.0,5089.0,5183.0,4963.0,988290.0,0.0151,2.2550090907459843,0.0007535664158529916
2002-08-07,5219.0,5183.0,5263.0,5182.0,507410.0,0.0070999999999999995,2.2690792237928545,0.0007979812466080268
2002-08-08,5262.0,5222.0,5356.0,5222.0,525780.0,0.008199999999999999,2.2621921779572842,0.0008037250591226831
2002-08-12,5262.0,5262.0,5270.0,5250.0,323940.0,0.0,2.254352539861143,0.0008358395183812663
2002-08-13,5030.0,5263.0,5263.0,5030.0,209890.0,-0.0441,2.243695791927533,0.0009230472857438371
2002-08-14,5167.0,5105.0,5183.0,5105.0,141640.0,0.027200000000000002,2.205291243688536,0.0007563048712047294
2002-08-15,5250.0,5262.0,5325.0,5112.0,320340.0,0.0161,2.218121267349204,0.0009572142936068458
2002-08-16,5207.0,5105.0,5222.0,5105.0,155150.0,-0.008199999999999999,2.227511695212516,0.001016795319816623
2002-08-19,5199.0,5207.0,5222.0,5183.0,240470.0,-0.0015,2.2210197869562016,0.0009651719866238027
2002-08-20,5183.0,5199.0,5207.0,5144.0,179140.0,-0.0031,2.2130917658494456,0.0010084725893696896
2002-08-21,5262.0,5183.0,5419.0,5183.0,126430.0,0.0152,2.210584193829367,0.0010256531328324645
2002-08-22,5419.0,5262.0,5419.0,5262.0,217050.0,0.0298,2.2111291492485194,0.0009799084149951082
2002-08-23,5411.0,5379.0,5419.0,5340.0,76450.0,-0.0015,2.2232982020237073,0.0011526487011335868
2002-08-26,5301.0,5403.0,5403.0,5301.0,48500.0,-0.0203,2.210412870224018,0.0011723882240382262
2002-08-27,5317.0,5301.0,5399.0,5281.0,188290.0,0.003,2.2301475118275143,0.001159142962429306
2002-08-28,5356.0,5285.0,5415.0,5285.0,115540.0,0.0073,2.2236831833696056,0.0011361420458771575
2002-08-29,5331.0,5356.0,5376.0,5317.0,75740.0,-0.004699999999999999,2.2109778852695907,0.00109343706506106
2002-08-30,5403.0,5331.0,5403.0,5328.0,353890.0,0.013500000000000002,2.2086194073268834,0.0010546110519719528
2002-09-02,5521.0,5403.0,5576.0,5403.0,167290.0,0.0218,2.191507396335903,0.001015379072081963
2002-09-03,5458.0,5498.0,5517.0,5427.0,328290.0,-0.011399999999999999,2.1742896519661383,0.0012127721813759585
2002-09-04,5654.0,5427.0,5654.0,5419.0,597460.0,0.0359,2.1828413906514568,0.0012204972848720871
2002-09-05,5678.0,5654.0,5733.0,5654.0,601930.0,0.0042,2.182549879453266,0.0013858756040243151
2002-09-06,5647.0,5694.0,5694.0,5576.0,715860.0,-0.0055000000000000005,2.1614412014198474,0.0014595921179070316
2002-09-09,5654.0,5654.0,5733.0,5615.0,372870.0,0.0012,2.159191803817777,0.0013377136548739887
2002-09-10,5694.0,5639.0,5733.0,5639.0,248210.0,0.0070999999999999995,2.139967863222235,0.0013951236008748857
2002-09-11,5678.0,5694.0,5698.0,5635.0,322040.0,-0.0028000000000000004,2.118669008155776,0.0013665744694599453
2002-09-12,5615.0,5674.0,5678.0,5576.0,128610.0,-0.0111,2.1093438956180184,0.0013368227448721085
2002-09-13,5529.0,5615.0,5615.0,5489.0,136560.0,-0.015300000000000001,2.097017688776914,0.0013582941257476978
2002-09-16,5654.0,5537.0,5654.0,5497.0,79340.0,0.0226,2.037158293044998,0.0013995975491566982
2002-09-17,5654.0,5654.0,5694.0,5497.0,296380.0,0.0,2.0688773730314947,0.0014533524715519023
2002-09-18,5564.0,5654.0,5733.0,5564.0,186620.0,-0.0159,2.0499167919676453,0.001394888080969239
2002-09-19,5576.0,5560.0,5654.0,5544.0,426940.0,0.0022,2.0336658128955034,0.0013709966827234843
2002-09-20,5607.0,5576.0,5654.0,5517.0,330630.0,0.005600000000000001,2.0468740059797015,0.0013438239808977453
2002-09-23,5619.0,5603.0,5619.0,5576.0,89210.0,0.0021,2.0626371681055238,0.001334855702696225
2002-09-25,5835.0,5576.0,5835.0,5576.0,342190.0,0.0384,2.0484171607575274,0.0013451674165890367
2002-09-26,5764.0,5827.0,5835.0,5641.0,187060.0,-0.012199999999999999,2.034436832212262,0.0015366196647383793
2002-09-27,5654.0,5764.0,5792.0,5631.0,723620.0,-0.0191,1.9613846952580818,0.0014160751517366963
2002-09-30,5694.0,5654.0,5694.0,5639.0,134200.0,0.0070999999999999995,2.0325802183407427,0.0014239495348530716
2002-10-01,5655.0,5694.0,5733.0,5647.0,398360.0,-0.0068000000000000005,2.026034698017404,0.001514114908177499
2002-10-02,5639.0,5656.0,5694.0,5631.0,546470.0,-0.0028000000000000004,2.0153660543800864,0.0014590778911138457
2002-10-03,5631.0,5627.0,5654.0,5576.0,266550.0,-0.0014000000000000002,1.985578541293502,0.0013742414799570307
2002-10-04,5576.0,5631.0,5631.0,5497.0,100190.0,-0.0098,1.9863073647968246,0.0013554720506129894
